service_provider,name_service,type_education,terms_service,service_forms,service_price,phone_numbers,web_site,e-mail,area_activity,classroom_hours
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж», Парикмахер,Профессиональная переподготовка,102,Очная,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Парикмахерское исскусство,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж», Мастер ногтевого сервиса,Профессиональная переподготовка,160,Очная,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Ногтевой сервис,80
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Визажист-стилист,Профессиональная переподготовка,72,Очная,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Визажист/Стилист/Косметолог,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Флористика и фитодизайн,Профессиональная переподготовка,72,Очная,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Флорист,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Дизайн интерьеров,Профессиональная переподготовка,105,Очно-заочная с применением электронного и дистанционного обучения,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Дизайн,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Ландшафтный дизайн,Профессиональная переподготовка,105,Очно-заочная с применением электронного и дистанционного обучения,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Дизайн,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Классический массаж,Повышение квалификации,48,Очная,14000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Массажист,20
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Менеджер по туризму,Профессиональная переподготовка,72,Заочная,16000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Административно-управленческая и офисная деятельность,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Секретарь-администратор,Профессиональная переподготовка,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Административно-управленческая и офисная деятельность,80
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Портной,Профессиональная переподготовка,144,Очная,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Легкая и текстильная промышленность,64
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Швея,Профессиональная переподготовка,72,Очная,16000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Легкая и текстильная промышленность,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Делопроизводитель,Профессиональная переподготовка,160,Заочная,15000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Административно-управленческая и офисная деятельность,80
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Кадровое делопроизводство,Профессиональная переподготовка,160,Заочная,15000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Административно-управленческая и офисная деятельность,80
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Администратор гостиницы (санатория),Профессиональная переподготовка,72,Заочная,15000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Административно-управленческая и офисная деятельность,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Администратор салона красоты,Профессиональная переподготовка,72,Очно-заочная с применением электронного и дистанционного обучения,15000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Административно-управленческая и офисная деятельность,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,SMM-менеджер,Профессиональная переподготовка,72,Очно-заочная с применением электронного и дистанционного обучения,16000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Связь и ИКТ,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Агент торговый,Профессиональная переподготовка,72,Заочная,15000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Торговля,36
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Продавец непродовольственных товаров,Профессиональная переподготовка,160,Очно-заочная с применением электронного и дистанционного обучения,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Торговля,80
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Младший воспитатель,Профессиональная переподготовка,260,Очно-заочная с применением электронного и дистанционного обучения,20000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Образование и наука,100
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр «Престиж»,Комплектовщик,Профессиональная переподготовка,72,Заочная,12000,8(3452) 22-77-52; 8 961 210 32 18,https://kurs-prestige.ru/,390175@mail.ru,Сквозные виды профессиональной деятельности в промышленности,36
